Match Number,Runs,Wkts,Conc,Ct,St,Opposition,Ground,Start Date,ODI Number,
72,63,0,22,1,0,v U.A.E.,Sharjah,13-Apr-94,ODI # 904,
73,73,0,34,0,0,v Pakistan,Sharjah,15-Apr-94,ODI # 906,
74,6,0,39,1,0,v Australia,Sharjah,19-Apr-94,ODI # 910,
75,24,0,45,0,0,v Pakistan,Sharjah,22-Apr-94,ODI # 912,
76,11*,-,-,-,-,v Sri Lanka,Colombo (RPS),4-Sep-94,ODI # 921,
77,6,0,21,0,0,v Sri Lanka,Colombo (RPS),5-Sep-94,ODI # 922,
78,110,0,15,0,0,v Australia,Colombo (RPS),9-Sep-94,ODI # 924,
79,0,-,-,0,0,v Sri Lanka,Colombo (SSC),17-Sep-94,ODI # 927,
80,0,0,32,0,0,v West Indies,Faridabad,17-Oct-94,ODI # 931,
81,0,-,-,1,0,v West Indies,Wankhede,20-Oct-94,ODI # 933,
82,8,3,36,1,0,v West Indies,Chennai,23-Oct-94,ODI # 936,
83,115,0,27,0,0,v New Zealand,Vadodara,28-Oct-94,ODI # 939,
84,34,2,31,1,0,v West Indies,Kanpur,30-Oct-94,ODI # 941,
85,62,2,29,0,0,v New Zealand,Delhi,3-Nov-94,ODI # 944,
86,66,1,35,1,0,v West Indies,Kolkata,5-Nov-94,ODI # 947,
87,54,1,39,0,0,v West Indies,Visakhapatnam,7-Nov-94,ODI # 949,
88,88,0,20,0,0,v West Indies,Cuttack,9-Nov-94,ODI # 950,
89,105,0,31,0,0,v West Indies,Jaipur,11-Nov-94,ODI # 951,
90,13,-,-,0,0,v New Zealand,Napier,16-Feb-95,ODI # 976,
91,37,0,43,0,0,v South Africa,Hamilton,18-Feb-95,ODI # 977,
92,47,1,33,1,0,v Australia,Dunedin,22-Feb-95,ODI # 979,
93,48,-,-,0,0,v Bangladesh,Sharjah,5-Apr-95,ODI # 993,
94,4,0,27,2,0,v Pakistan,Sharjah,7-Apr-95,ODI # 995,
95,112*,-,-,1,0,v Sri Lanka,Sharjah,9-Apr-95,ODI # 997,
96,41,0,10,0,0,v Sri Lanka,Sharjah,14-Apr-95,ODI # 999,
97,30,0,18,0,0,v New Zealand,Jamshedpur,15-Nov-95,ODI # 1015,
98,39,1,15,1,0,v New Zealand,Amritsar,18-Nov-95,ODI # 1016,
99,7,2,49,1,0,v New Zealand,Pune,24-Nov-95,ODI # 1017,
100,65,0,54,0,0,v New Zealand,Nagpur,26-Nov-95,ODI # 1018,
101,1,-,-,0,0,v New Zealand,Brabourne,29-Nov-95,ODI # 1019,
102,127*,0,26,0,0,v Kenya,Cuttack,18-Feb-96,ODI # 1052,
